Song,Duration,Familiarity,Loudness,Tempo
In the Year 2525 (Exordium & Terminus),,,,
Fantasy,,,,
Faith,216.7,52.939,9.0,171.8
I Want to Know What Love Is,,,,
Heartbreak Hotel,,,,
Beautiful Liar,,,,
Suspicious Minds,,,,
Crocodile Rock,,,,
Papa Don't Preach,269.6,91.582,3.6,121.9
Un-Break My Heart,,,,
Shut Up,236.0,66.534,9.1,132.0
Tears in Heaven,,,,
You're So Vain,,,,
Men in Black,,,,
Bring Me to Life,,,,
Endless Love,,,,
Let's Dance,,,,
Abracadabra,,,,
Love is All Around,,,,
Lonely,240.3,16.485,6.7,166.1
You Are Not Alone,,,,
Genie in a Bottle,,,,
Missing,220.3,43.49,7.3,84.0
Truly Madly Deeply,,,,
Paper Doll,162.2,62.16,11.6,74.0
Don't Worry Be Happy,,,,
How Deep is Your Love?,,,,
Fallin',,,,
F**k it (I Don't Want You Back),,,,
Boombastic,,,,
Tennessee Waltz,,,,
Relax,203.8,62.283,7.7,126.9
Bad Romance,,,,
Hound Dog,169.8,57.051,8.0,148.9
Frozen,,,,
Beautiful,397.6,87.101,7.0,132.0
Tubthumping,,,,
Blueberry Hill,155.5,58.365,16.0,107.7
A Little Less Conversation,,,,
Volare,,,,
No One,265.6,41.931,8.7,93.0
Hot Stuff,,,,
West End Girls,,,,
Walk Like an Egyptian,,,,
We Belong Together,,,,
Bad Day,,,,
What's Up?,,,,
That's the Way Love Goes,,,,
Another One Bites the Dust,,,,
Call Me Maybe,,,,
Centrefold,,,,
Promiscuous,,,,
Born to Be Alive,,,,
Mr Vain,,,,
With Or Without You,,,,
Don't Stop the Music,,,,
Kiss From a Rose,,,,
Always,235.1,63.611,8.6,111.5
Please Forgive Me,,,,
Speedy Gonzales,,,,
Shout,,,,
Total Eclipse of the Heart,,,,
Wake Me Up Before You Go Go,,,,
Sh-Boom (Life Could Be a Dream),,,,
Boulevard of Broken Dreams,,,,
Yellow Submarine,,,,
(I've Had) the Time of My Life,,,,
Blaze of Glory,,,,
Stan,,,,
Smoke Gets in Your Eyes,,,,
"Say You, Say Me",,,,
To Be With You,,,,
The Sounds of Silence,,,,
Down Under,,,,
All I Wanna Do,,,,
Cotton Eye Joe,,,,
Jumpin' Jack Flash,,,,
Red Red Wine,,,,
Tainted Love,,,,
Can't Fight the Moonlight,,,,
It Wasn't Me,,,,
(Put Another Nickel In) Music! Music! Music!,,,,
Come On Eileen,,,,
Just the Way You Are,,,,
Marina,,,,
If You Had My Love,,,,
Sexy Chick (sexy Bitch),,,,
Oops!... I Did it Again,,,,
Born This Way,,,,
"Bye, Bye, Bye",,,,
I Feel Love,,,,
All Night Long (All Night),,,,
White Flag,,,,
Sentimental Journey,140.6,35.45,11.9,118.1
Mr Tambourine Man,,,,
Baker Street,,,,
On The Floor,,,,
All Shook Up,199.2,42.388,14.5,98.1
Ticket to Ride,,,,
Torn,,,,
Losing My Religion,,,,
What is Love?,,,,
San Francisco (Wear Some Flowers in Your Hair),,,,
Rum & Coca-Cola,,,,
I Still Haven't Found What I'm Looking For,180.0,37.973,13.9,97.0
Joyride,315.8,58.305,9.8,140.0
I Can Help,,,,
Children,,,,
Iris,,,,
Angel,335.3,87.254,5.8,76.1
Say It Right,,,,
(Sittin' On) the Dock of the Bay,,,,
Wooly Bully,,,,
Don't Be Cruel,,,,
Jump,,,,
SOS,244.5,91.786,3.9,139.3
Ms Jackson,,,,
It's a Heartache,,,,
Paint it Black,,,,
Cathy's Clown,,,,
California Gurls,,,,
Moves Like Jagger,,,,
Too Much Heaven,,,,
You'll Never Know,180.5,42.804,14.8,219.3
Come Together,,,,
My Sharona,,,,
I'd Love You to Want Me,,,,
Boom Boom Pow,,,,
Daydream Believer,,,,
Gold Digger,,,,
Woman,273.5,71.369,8.7,129.0
Nothing's Gonna Stop Us Now,,,,
Against All Odds (Take a Look At Me Now),,,,
Scatman (Ski-Ba-Bop-Ba-Dop-Bop),,,,
Don't Phunk With My Heart,356.4,62.516,7.6,130.9
99 Red Balloons,,,,
Surrender,,,,
"Rudolph, the Red-Nosed Reindeer",,,,
Wonderwall,,,,
Telstar,,,,
Crazy Little Thing Called Love,,,,
Firework,,,,
Only girl (in the world),,,,
Say Say Say,,,,
Desire,312.8,69.412,11.9,100.0
Stronger,,,,
You've Lost That Lovin' Feelin',204.4,55.892,10.3,101.5
Scream,,,,
Return to Sender,,,,
Spirit in the Sky,,,,
The Most Beautiful Girl in the World,,,,
Unforgettable,,,,
Ma Baker,,,,
Mull of Kintyre,,,,
Pretty Fly (For a White Guy),,,,
Like a Virgin,,,,
Monday Monday,,,,
That'll Be the Day,,,,
Hollaback Girl,,,,
Lose My Breath,,,,
Take a Bow,,,,
Cry,214.5,68.681,4.3,142.1
Runaway,,,,
Together Again,,,,
Diana,,,,
Great Balls of Fire,,,,
Sweet Child O' Mine,445.2,84.409,3.9,134.2
Right Round,,,,
(Now & then There's) A Fool Such As I,,,,
I'm Not in Love,,,,
Ring My Bell,,,,
Do Ya Think I'm Sexy?,,,,
Dynamite,,,,
I am Yours,,,,
Let Me Love You,,,,
Sadeness,,,,
Rhythm is a Dancer,,,,
Pop Muzik,,,,
Ironic,,,,
Hello,381.3,59.899,5.6,128.0
Battle of New Orleans,,,,
Livin' On a Prayer,,,,
Hero,,,,
The Ballroom Blitz,,,,
Tik-Toc,,,,
The Way I Are,,,,
In the Air Tonight,,,,
Five Minutes More,,,,
A Thousand Miles,,,,
Swanee,,,,
Here in My Heart,,,,
All summer long,,,,
Sledgehammer,,,,
Someone Like You,,,,
Aquarius/Let The Sunshine In,,,,
"Goodnight, Irene",,,,
The Look,,,,
Words,,,,
Kiss Me,,,,
Fame,,,,
Crimson & Clover,,,,
She Drives Me Crazy,,,,
Whole Lotta Love,,,,
Don't Stop 'Til You Get Enough,,,,
Popcorn,350.2,43.545,7.2,131.0
Eternal Flame,,,,
Maria Maria,,,,
Love Will Keep Us Together,,,,
Get Outta My Dreams Get Into My Car,,,,
Cherry Pink & Apple Blossom White,,,,
Here Comes the Hotstepper,,,,
The Letter,,,,
12th Street Rag,,,,
Celebration,182.6,52.073,4.4,105.0
Only You (And You Alone),,,,
Kiss You All Over,,,,
Lola,,,,
You Ain't Seen Nothin' Yet,,,,
Never Ever,,,,
December 1963 (Oh What a Night),,,,
Everybody Wants to Rule the World,,,,
Pistol Packin' Mama,,,,
The Power,,,,
Right Here Waiting,,,,
Love Letters in the Sand,,,,
Brown Sugar,,,,
Smack That,,,,
Nature Boy,192.1,75.492,11.6,100.0
Viva La Vida,,,,
Hey Paula,,,,
Louie Louie,144.0,36.136,14.5,154.1
Be My Baby,,,,
Kiss & Say Goodbye,,,,
Joy to the World,97.7,38.231,16.1,106.3
Xanadu,,,,
I Heard it Through the Grapevine,,,,
Under the Bridge,,,,
In the Ghetto,,,,
Don't Let the Stars Get in Your Eyes,,,,
Light My Fire,,,,
The Ballad of John & Yoko,,,,
Sweet Dreams (Are Made of This),,,,
Can't Buy Me Love,,,,
Memories Are Made of This,,,,
Save the Last Dance For Me,,,,
Heart of Gold,,,,
Love Don't Cost a Thing,,,,
I Don't Feel Like Dancin',,,,
Swing the Mood,,,,
Little Things Mean a Lot,,,,
Who's That Girl?,,,,
She's a Lady,,,,
More Than Words,276.8,44.803,22.6,138.8
Somethin' Stupid,,,,
I'm Too Sexy,,,,
Auf Wiederseh'n Sweetheart,,,,
Proud Mary,,,,
"Hold Me, Thrill Me, Kiss Me, Kill Me",,,,
Moonlight Serenade,128.6,68.8,10.3,138.5
Mmm Mmm Mmm Mmm,,,,
Up Around the Bend,,,,
Disturbia,,,,
Something About the Way You look Tonight,,,,
Honey,242.2,81.109,3.4,95.5
Just Lose It,,,,
Pass the Dutchie,,,,
Hard to Say I'm Sorry,,,,
Up Where We Belong,,,,
Theme From 'Shaft',,,,
Raindrops Keep Falling On My Head,236.1,63.944,15.7,91.9
Judy in Disguise (With Glasses),,,,
Give Me Everything,,,,
The River of Dreams,,,,
One of Us,193.4,49.876,7.5,106.1
All Around the World,,,,
Black Velvet,,,,
If I Were a Boy,,,,
If I Had a Hammer,,,,
The First Time Ever I Saw Your Face,,,,
Axel F,,,,
(You're The) Devil in Disguise,,,,
Lady Madonna,,,,
Money For Nothing,,,,
Near You,117.5,64.777,16.4,83.7
Good Luck Charm,,,,
Three Times a Lady,,,,
Chattanooga Choo Choo,,,,
Vision of Love,,,,
Knock Three Times,,,,
Knock On Wood,,,,
How High the Moon,,,,
The Song From Moulin Rouge (Where Is Your Heart),,,,
The Winner Takes it All,,,,
(They Long to Be) Close to You,,,,
Grease,,,,
SOS (Rescue Me),,,,
The Lady in Red,,,,
Strawberry Fields Forever,,,,
I Think We're Alone Now,,,,
Mercy,,,,
Tonight's the Night (Gonna Be Alright),,,,
Ignition,,,,
Goodbye Yellow Brick Road,,,,
Ain't No Other Man,,,,
My Band,,,,
The Way We Were,198.9,32.198,13.5,71.3
Blurred Lines,,,,
Fox On the Run,,,,
Gonna Make You Sweat (Everybody Dance Now),,,,
Thriller,203.5,93.796,1.2,178.5
Ghostbusters,,,,
Return to Innocence,,,,
Like a Rolling Stone,,,,
Follow Me,,,,
The Sweet Escape,,,,
Miss You,,,,
The Great Pretender,,,,
Tequila,,,,
Silly Love Songs,,,,
Hey There Delilah,,,,
Jesus to a Child,,,,
Need You Tonight,,,,
Rehab,,,,
Dreamlover,,,,
Wuthering Heights,,,,
Reach Out (I'll Be There),,,,
Spaceman,284.3,91.845,6.5,152.0
Winchester Cathedral,,,,
Superstition,,,,
Doo Wop (That Thing),,,,
The Real Slim Shady,,,,
Justify My Love,,,,
Love Shack,,,,
Can You Feel the Love Tonight,,,,
Let's Stay Together,,,,
Shy Guy,,,,
Crush,,,,
Batdance,,,,
Lambada,,,,
Something,,,,
All I Have to Do is Dream,,,,
"Yes Sir, I Can Boogie",,,,
Daddy Cool,,,,
Discotheque,,,,
You're Still the One,,,,
Don't Let the Sun Go Down On Me,,,,
Womanizer,,,,
When,181.5,45.056,4.6,126.2
This Used to Be My Playground,,,,
The Loco-Motion,145.2,59.013,6.6,129.8
Dragostea Din Tei,,,,
Hey There,,,,
Vertigo,451.4,84.353,4.8,130.0
Ghetto Supastar (That is What You Are),,,,
Let Your Love Flow,,,,
Shadow Dancing,,,,
Teenage Dream,,,,
Me Against the Music,,,,
Survivor,,,,
The Final Countdown,,,,
Underneath Your Clothes,,,,
2 Become 1,,,,
Shaddup You Face,,,,
Crazy For You,,,,
Please Mr Postman,,,,
Wild Wild West,,,,
La Isla Bonita,,,,
Kiss,,,,
All For You,,,,
Dizzy,,,,
Dani California,,,,
Enjoy the Silence,,,,
Save the Best For Last,,,,
Una Paloma Blanca,,,,
Get Right,,,,
Get Down,269.2,58.33,6.9,90.9
It's My Life,,,,
Don't Matter,249.4,100.0,6.1,125.3
Stranger in Paradise,,,,
Nikita,,,,
Delilah,316.8,56.986,12.9,90.7
It's Like That,250.1,68.699,6.7,129.1
Instant Karma,,,,
(I've Got a Gal In) Kalamazoo,,,,
Wind of Change,,,,
Heaven is a Place On Earth,,,,
Cracklin' Rosie,,,,
Beautiful Sunday,,,,
Oh Happy Day,,,,
Say You'll Be There,,,,
Footloose,,,,
One Night in Bangkok,,,,
It's Too Late,157.5,58.224,5.1,125.3
The Power of Love,,,,
Opposites Attract,,,,
You Light Up My Life,,,,
The Joker,,,,
Candy Shop,,,,
Dancing in the Dark,,,,
"When the Going Gets Tough, the Tough Get Going",,,,
It's Only Make Believe,,,,
19,,,,
Only The Lonely (Know The Way I Feel),,,,
The Time (Dirty Bit),,,,
We Are the Champions,,,,
Speed of Sound,,,,
Eloise,,,,
All I Wanna Do is Make Love to You,,,,
Banana Boat Song,,,,
Respect,,,,
Quit Playing Games (With My Heart),,,,
Lonely Boy,,,,
A View to a Kill,,,,
Stranger On the Shore,,,,
How to Save a Life,,,,
Change the World,,,,
Save All Your Kisses For Me,,,,
(You've Got) Personality,,,,
Begin the Beguine,,,,
Uptown Girl,,,,
Alone Again (Naturally),,,,
Grace Kelly,,,,
When I Need You,,,,
We Don't Talk Anymore,,,,
Blue Moon,248.5,67.5,7.8,124.0
One,,,,
I'm Looking Over a Four Leaf Clover,,,,
Live to Tell,,,,
Summer Nights,,,,
Nights in White Satin,,,,
Bird Dog,,,,
My Love,269.5,59.902,15.4,69.5
How Do I Live?,,,,
Hello Mary Lou,,,,
When You Believe,,,,
We Can Work it Out,,,,
Runaway Train,,,,
Don't Let Me Be Misunderstood,,,,
I Should Be So Lucky,,,,
Jenny From the Block,,,,
Single Ladies (Put A Ring On It),466.1,88.946,6.6,84.1
Singing The Blues,,,,
Bitter Sweet Symphony,,,,
Gangnam Style,,,,
My Girl,,,,
Sugar Baby Love,,,,
Telephone,,,,
Frenesi,,,,
Tangerine,,,,
"Baby, I Love Your Way",,,,
Hanging by a Moment,,,,
Big Big World,,,,
Shape of My Heart,,,,
Kokomo,,,,
Moonlight Cocktail,,,,
What Goes Around Comes Around,,,,
Patricia,168.9,69.926,9.5,197.2
When a Man Loves a Woman,,,,
Johnny B Goode,,,,
Love to Love You Baby,,,,
Drop it Like It's Hot,,,,
Independent Women Part 1,,,,
Photograph,,,,
Day Tripper,,,,
She Will Be Loved,261.6,90.548,5.7,102.1
Rhinestone Cowboy,,,,
Puppet On a String,,,,
Bad Moon Rising,,,,
Two Hearts,204.2,65.592,2.7,155.8
I Was Made For Lovin' You,,,,
Yellow River,,,,
I Try,,,,
Hello Dolly,,,,
Delicado,,,,
Pennies From Heaven,134.9,70.844,13.3,63.2
Morning Train (Nine to Five),,,,
Time After Time,312.7,50.677,20.3,103.1
I Wanna Sex You Up,,,,
We Don't Need Another Hero (Thunderdome),,,,
Love Theme From 'A Star is Born' (Evergreen),,,,
Mule Train,,,,
Greatest Love of All,,,,
"Girl, I'm Gonna Miss You",,,,
Till The End of Time,,,,
We Are Young,,,,
I Just Wanna Be Your Everything,,,,
Family Affair,,,,
"Money, Money, Money",,,,
Don't Turn Around,,,,
The Living Years,,,,
My Place,,,,
Because of You,,,,
Mrs Robinson,,,,
Arthur's Theme (Best That You Can Do),,,,
Love is a Many Splendoured Thing,,,,
One More Try,,,,
In the End,,,,
What a Fool Believes,,,,
Mississippi,,,,
"Girl, You Know It's True",,,,
It's All in the Game,,,,
Prisoner of Love,,,,
The Tide is High,,,,
Wooden Heart,,,,
I Love You Always Forever,,,,
Clair,,,,
Baby Jane,,,,
9 to 5,,,,
The Woody Woodpecker Song,,,,
I'm Walking Behind You,,,,
Pon De Replay,,,,
As Long As You Love Me,,,,
The Air That I Breathe,,,,
Because I Got High,,,,
That's Amore,,,,
I'll be seeing you,,,,
Video Killed the Radio Star,,,,
Hot in Herre,,,,
Sailing,207.4,40.171,3.9,138.0
My Humps,,,,
Besame Mucho,245.4,35.371,9.5,118.0
Get Off of My Cloud,,,,
Temperature,,,,
I Just Can't Stop Loving You,,,,
My Boo,,,,
Tom's Diner,,,,
Fly Robin Fly,,,,
Gettin' Jiggy Wit It,,,,
My Immortal,,,,
No Air,,,,
Got My Mind Set On You,,,,
London Bridge,209.0,87.363,5.9,91.0
Another Night,,,,
Love Song,,,,
Bad Girls,,,,
I'll Never Smile Again,,,,
Ordinary World,,,,
In the Navy,,,,
The Way You Look Tonight,,,,
Fast Love,,,,
Dream Lover,344.2,55.788,11.7,125.4
Lovefool,,,,
"Knowing Me, Knowing You",,,,
Little Darlin',,,,
"You're the First, the Last, My Everything",,,,
The Hustle,334.8,75.606,9.6,95.8
Into the Groove,,,,
Drops of Jupiter (Tell Me),,,,
Car Wash,,,,
Run It,,,,
(Sexual) Healing,,,,
A Little Bird Told Me,,,,
Say My Name,,,,
Love In This Club,,,,
Me & Bobby McGee,,,,
Ray of Light,,,,
(What A) Wonderful World,,,,
Eleanor Rigby,,,,
Always On My Mind,,,,
Rush Rush,,,,
Numb/Encore,,,,
The Saints are Coming,,,,
Night & Day,,,,
Take a Chance On Me,,,,
"Shame, Shame, Shame",,,,
Wheel of Fortune,,,,
How Bizarre,,,,
Sugar Shack,,,,
Young Girl,,,,
Where Did Our Love Go,,,,
I Need You Now,275.1,73.754,4.4,124.0
All My Life,,,,
7 Seconds,,,,
Love Hurts,,,,
Horse With No Name,,,,
I Want You Back,148.0,57.324,7.8,123.5
Love Me Tender,,,,
Wonderful World,,,,
The Thing,,,,
I'm Sorry,,,,
Get Busy,,,,
That Don't Impress Me Much,,,,
OMG,,,,
That Lucky Old Sun (Just Rolls Around Heaven All Day),,,,
Whistle,,,,
Exhale (Shoop Shoop),,,,
Wild Boys,,,,
Die Another Day,,,,
Beautiful Stranger,,,,
Purple Rain,,,,
The Green Green Grass of Home,,,,
Orinoco Flow,,,,
Born to Be Wild,,,,
Don't You (Forget About Me),,,,
Chiquitita,,,,
Band On the Run,,,,
God Bless America,,,,
Heartbreaker,170.0,75.991,8.7,154.3
Sleepy Lagoon,,,,
Too Close,,,,
Simon Says,,,,
I Think I Love You,,,,
You Make Me Feel Like Dancing,,,,
Wanted,,,,
Top of the World,,,,
Express Yourself,,,,
Boom! Shake the Room,,,,
I Feel For You,,,,
Build Me Up Buttercup,,,,
E.T.,,,,
Everytime,206.8,94.733,3.7,85.3
Whispering,,,,
Michelle,,,,
American Boy,,,,
I'll Be There,,,,
How Much is That Doggy in the Window?,,,,
Airplanes,,,,
Burn,,,,
Feel Good Inc,,,,
Song Sung Blue,172.4,81.764,12.4,127.3
Roses Are Red,,,,
Hold My Hand,,,,
The Last Waltz,,,,
Give it to Me,,,,
I Don't Wanna Know,,,,
Everybody (Backstreet's Back),,,,
Hurt,,,,
T For Texas (Blue Yodel No 1),,,,
Hold On,381.2,85.264,6.4,134.5
Manana (Is Soon Enough For Me),,,,
Rhapsody in Blue,,,,
Long Tall Sally,,,,
"Sing, Sing, Sing (With A Swing)",,,,
Living Next Door to Alice,,,,
Step By Step,,,,
Mighty Quinn,,,,
Wild Thing,,,,
No Limit,,,,
The Reason,,,,
Self Control,,,,
Oh My Papa (O Mein Papa),,,,
I Want You,316.8,71.327,11.8,98.4
California Dreamin',,,,
Meet Me Half Way,,,,
Secret,254.9,45.074,6.4,94.0
Bad,373.8,47.308,4.2,147.0
Stay (I Missed You),,,,
Whole Lotta Shakin' Goin' On,,,,
Rapture,,,,
Michael Row the Boat,,,,
I Got You Babe,,,,
Tammy,,,,
American Woman,,,,
Be My Love,,,,
Il Silenzio,,,,
I'll Remember,,,,
Locked Out Of Heaven,,,,
The Long & Winding Road,,,,
Get Up (Before the Night is Over),,,,
Only Time,,,,
Brand New Key,,,,
Together Forever,,,,
Mammy Blue,,,,
Living Doll,,,,
Just Walkin' in the Rain,,,,
Sweat (A La La La La Song),,,,
Achy Breaky Heart,,,,
Remember the Time,,,,
Try Again,,,,
Escapade,,,,
Bitch,,,,
California Love,,,,
19th Nervous Breakdown,227.5,50.051,11.8,176.3
The Boys of Summer,,,,
Unbelievable,,,,
So Sick,,,,
That's the Way (I Like It),,,,
Higher Love,,,,
Who's Sorry Now?,,,,
If You Don't Know Me By Now,,,,
Skyfall,,,,
Stuck On You,,,,
Addicted to Love,,,,
Milkshake,,,,
Pump Up the Jam,,,,
"A Little Bit Me, a Little Bit You",,,,
Butterfly,,,,
Crying in the Chapel,,,,
Creep,,,,
"Ob-La-Di, Ob-La-Da",,,,
Blue Suede Shoes,,,,
Thrift Shop,,,,
Summer in the City,,,,
I Wanna Go Home (The Wreck of the 'John B'),,,,
Three Coins in the Fountain,,,,
Check On It,211.2,88.946,4.3,110.7
No Milk Today,,,,
Lookin' Out My Back Door,,,,
Humpin' Around,,,,
For Your Eyes Only,195.1,55.838,7.6,158.1
You Win Again,,,,
I Will Follow Him,,,,
The Three Bells (Les Trois Cloches),,,,
Rapper's Delight,,,,
You Were Meant for Me,,,,
Saving All My Love For You,,,,
I Knew I Loved You,,,,
I Believe,,,,
Manic Monday,,,,
Hands Clean,,,,
Call On Me,365.2,69.682,9.7,116.5
Lady,,,,
My Prayer,,,,
Sukiyaki,,,,
Layla,,,,
Puppy Love,,,,
I Can See Clearly Now,,,,
This Love,177.5,90.548,6.0,115.0
I'm Gonna Be (500 miles),,,,
Don't Cry For Me Argentina,,,,
(Let Me Be Your) Teddy Bear,,,,
Empire State Of Mind,,,,
Sk8er Boi,,,,
Would I Lie to You?,,,,
Where Do You Go?,,,,
Maneater,,,,
We Are Family,,,,
The Night Chicago Died,,,,
Philadelphia Freedom,,,,
Be My Lover,263.7,44.026,10.2,86.7
"I Can Dream, Can't I?",,,,
Sylvia's Mother,,,,
Please Don't Go,,,,
Nothing's Gonna Change My Love For You,,,,
Two Tribes,,,,
Keep On Loving You,,,,
This is My Song,,,,
Love's Theme,,,,
Start Me Up,242.2,81.483,3.2,130.4
Black is Black,,,,
Straight Up,,,,
Good Feeling,,,,
Halo,,,,
Do Wah Diddy Diddy,,,,
Blue Tango,,,,
What a Girl Wants,,,,
Je T'Aime (Moi Non Plus),,,,
Stickwitu,,,,
Stereo love,,,,
Crying,,,,
Tarzan Boy,,,,
Nothin' on You,,,,
Love Is Blue (L'Amour Est Bleu),,,,
Maniac,,,,
Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha,,,,
Don't Dream It's Over,,,,
Cheek to Cheek,,,,
Sir Duke,,,,
It's a Sin,,,,
I'm Your Baby Tonight,,,,
Baby Baby,,,,
Dominique,,,,
Turn Me On,271.5,61.877,8.2,91.8
Who Let the Dogs Out?,,,,
Baby Love,,,,
